Rank,Title,Profit,Year
201,X-Men: Apocalypse,"$543,934,105",2016
202,Sherlock Holmes: A Game of Shadows,"$543,848,418",2011
203,Despicable Me,"$543,157,985",2010
204,Cinderella,"$542,358,331",2015
205,Madagascar,"$542,063,846",2005
206,World War Z,"$540,455,876",2013
207,Brave,"$538,983,207",2012
208,Star Wars: Episode V - The Empire Strikes Back,"$538,375,067",1980
209,The Simpsons Movie,"$536,414,293",2007
210,The Revenant,"$532,950,503",2015
211,The Meg,"$530,517,320",2018
212,Ralph Breaks the Internet,"$529,323,962",2018
213,Hotel Transylvania 3: Summer Vacation,"$528,583,774",2018
214,The Boss Baby,"$527,965,936",2017
215,Dunkirk,"$527,016,307",2017
216,Godzilla,"$524,976,069",2014
217,How to Train Your Dragon: The Hidden World,"$524,580,592",2019
218,Sherlock Holmes,"$524,028,679",2009
219,Meet the Fockers,"$522,657,936",2004
220,WALL·E,"$521,311,890",2008
221,Kung Fu Panda 3,"$521,170,825",2016
222,Terminator 2: Judgment Day,"$520,881,154",1991
223,Ant-Man,"$519,311,965",2015
224,The Grinch,"$513,540,357",2018
225,Venom: Let There Be Carnage,"$506,863,592",2021
226,Ghost,"$505,703,557",1990
227,Aladdin,"$504,050,219",1992
228,Rio 2,"$498,781,117",2014
229,Troy,"$497,409,852",2004
230,Toy Story 2,"$497,375,381",1999
231,How to Train Your Dragon,"$494,879,471",2010
232,Twister,"$494,580,615",1996
233,Oz the Great and Powerful,"$493,311,825",2013
234,Clash of the Titans,"$493,214,993",2010
235,Maleficent: Mistress of Evil,"$491,730,089",2019
236,War for the Planet of the Apes,"$490,719,763",2017
237,Shrek,"$488,351,320",2001
238,Mr. & Mrs. Smith,"$487,287,646",2005
239,Angels & Demons,"$485,930,816",2009
240,Teenage Mutant Ninja Turtles,"$485,004,754",2014
241,Bruce Almighty,"$484,592,874",2003
242,Rio,"$483,866,518",2011
243,Saving Private Ryan,"$482,349,603",1998
244,Rise of the Planet of the Apes,"$481,800,873",2011
245,Home Alone,"$476,684,675",1990
246,Jaws,"$476,512,065",1975
247,Hotel Transylvania 2,"$475,186,706",2015
248,Star Wars: Episode VI - Return of the Jedi,"$475,106,177",1983
249,Charlie and the Chocolate Factory,"$474,968,763",2005
250,Indiana Jones and the Last Crusade,"$474,171,806",1989
251,San Andreas,"$474,009,154",2015
252,It Chapter Two,"$473,122,525",2019
253,La La Land,"$471,227,161",2016
254,Wreck-It Ralph,"$471,222,889",2012
255,Godzilla vs. Kong,"$470,067,014",2021
256,The Hangover,"$469,328,079",2009
257,Lucy,"$469,058,574",2014
258,The Lego Movie,"$468,266,122",2014
259,Bumblebee,"$467,989,645",2018
260,Star Trek Into Darkness,"$467,365,246",2013
261,The Matrix,"$467,222,728",1999
262,Gladiator,"$465,380,802",2000
263,Pretty Woman,"$463,406,268",1990
264,Cars,"$461,991,867",2006
265,The Eight Hundred,"$461,421,559",2020
266,X-Men: The Last Stand,"$460,435,291",2006
267,Moon Man,"$460,237,662",2022
268,National Treasure: Book of Secrets,"$459,242,249",2007
269,Mission: Impossible,"$457,696,391",1996
270,300,"$456,082,343",2007
271,The Last Samurai,"$454,627,263",2003
272,Demon Slayer the Movie: Mugen Train,"$453,210,959",2020
273,Dying to Survive,"$451,183,391",2018
274,Ocean's Eleven,"$450,717,150",2001
275,"My People, My Country","$450,064,993",2019
276,Thor,"$449,326,618",2011
277,Pearl Harbor,"$449,220,945",2001
278,Tarzan,"$448,191,819",1999
279,Men in Black II,"$445,135,288",2002
280,The Bourne Ultimatum,"$444,100,035",2007
281,The Mummy Returns,"$443,280,904",2001
282,Alvin and the Chipmunks: The Squeakquel,"$443,140,005",2009
283,Les Misérables,"$442,299,309",2012
284,The Exorcist,"$441,306,145",1973
285,Mrs. Doubtfire,"$441,286,195",1993
286,Terminator Genisys,"$440,603,537",2015
287,Warcraft,"$439,048,914",2016
288,A Star Is Born,"$436,233,122",2018
289,The Greatest Showman,"$435,732,529",2017
290,Terminator 3: Rise of the Machines,"$433,371,112",2003
291,Pokémon Detective Pikachu,"$433,230,304",2019
292,Shang-Chi and the Legend of the Ten Rings,"$432,243,292",2021
293,Die Another Day,"$431,971,116",2002
294,The Secret Life of Pets 2,"$431,058,056",2019
295,Cast Away,"$429,632,142",2000
296,Rampage,"$428,028,233",2018
297,The King's Speech,"$427,374,317",2010
298,The Matrix Revolutions,"$427,344,325",2003
299,The Intouchables,"$426,588,510",2011
300,Bad Boys for Life,"$426,505,244",2020
301,Django Unchained,"$426,074,373",2012
302,Beauty and the Beast,"$424,967,620",1991
303,Dances with Wolves,"$424,208,848",1990
304,"My People, My Homeland","$422,390,820",2020
305,The Chronicles of Narnia: Prince Caspian,"$419,665,568",2008
306,Sex and the City,"$418,765,519",2008
307,The Captain,"$417,282,021",2019
308,The Mummy,"$415,933,406",1999
309,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217",2010
310,Jason Bourne,"$415,484,914",2016
311,Mad Max: Fury Road,"$415,261,382",2015
312,The Wolverine,"$414,828,246",2013
313,Kingsman: The Secret Service,"$414,351,546",2015
314,Night at the Museum: Battle of the Smithsonian,"$413,106,170",2009
315,Batman,"$411,569,241",1989
316,The Bodyguard,"$411,046,449",1992
317,Pacific Rim,"$411,002,906",2013
318,Kingsman: The Golden Circle,"$410,902,662",2017
319,The Mummy,"$409,231,607",2017
320,Ice Age: Collision Course,"$408,754,975",2016
321,Twilight,"$408,430,415",2008
322,Signs,"$408,247,917",2002
323,X2: X-Men United,"$407,711,549",2003
324,Sing 2,"$407,511,469",2021
325,The Wolf of Wall Street,"$406,878,233",2013
326,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334",2022
327,Alita: Battle Angel,"$404,980,543",2019
328,The Mummy: Tomb of the Dragon Emperor,"$403,449,830",2008
329,Prometheus,"$403,354,469",2012
330,Sonic the Hedgehog 2,"$402,656,846",2022
331,Gone with the Wind,"$402,382,193",1939
332,Mamma Mia! Here We Go Again,"$402,264,843",2018
333,Eternals,"$402,064,899",2021
334,Dune,"$401,847,900",2021
335,Uncharted,"$401,748,820",2022
336,Tron: Legacy,"$400,063,852",2010
337,Mission: Impossible III,"$398,479,497",2006
338,Snow White and the Huntsman,"$396,592,829",2012
339,Grease,"$396,271,103",1978
340,Toy Story,"$394,436,586",1995
341,Solo: A Star Wars Story,"$392,924,807",2018
342,Superman Returns,"$391,081,192",2006
343,Robin Hood: Prince of Thieves,"$390,493,908",1991
344,Indiana Jones and the Raiders of the Lost Ark,"$389,925,971",1981
345,Independence Day: Resurgence,"$389,681,935",2016
346,Black Adam,"$389,642,000",2022
347,Live Free or Die Hard,"$388,156,011",2007
348,Monster Hunt,"$387,053,506",2015
349,Godzilla: King of the Monsters,"$386,600,138",2019
350,Home,"$386,041,607",2015
351,Star Trek,"$385,680,446",2009
352,1917,"$384,576,334",2019
353,Happy Feet,"$384,336,108",2006
354,Spider-Man: Into the Spider-Verse,"$384,256,930",2018
355,Cars 3,"$383,930,656",2017
356,Back to the Future,"$383,336,762",1985
357,Ice Age,"$383,257,136",2002
358,Fifty Shades Darker,"$381,545,846",2017
359,Monsters vs. Aliens,"$381,509,870",2009
360,Black Widow,"$379,751,655",2021
361,Godzilla,"$379,014,294",1998
362,True Lies,"$378,882,411",1994
363,Slumdog Millionaire,"$378,410,542",2008
364,Once Upon a Time in Hollywood,"$377,617,598",2019
365,Taken 2,"$376,152,455",2012
366,G.I. Joe: Retaliation,"$375,740,705",2013
367,Shark Tale,"$374,583,879",2004
368,What Women Want,"$374,111,707",2000
369,The Adventures of Tintin,"$373,993,951",2011
370,Batman Begins,"$373,672,993",2005
371,Penguins of Madagascar,"$373,515,621",2014
372,X-Men Origins: Wolverine,"$373,062,864",2009
373,The Golden Compass,"$372,234,864",2007
374,Fifty Shades Freed,"$371,985,018",2018
375,Hitch,"$371,594,210",2005
376,Terminator Salvation,"$371,353,001",2009
377,Captain America: The First Avenger,"$370,569,774",2011
378,Edge of Tomorrow,"$370,541,256",2014
379,There's Something About Mary,"$369,884,651",1998
380,Gone Girl,"$369,330,363",2014
381,The Fugitive,"$368,875,760",1993
