"Title","Profit","Year","audienceScore","tomatoMeter","Rating"
"Karate Kid",359126022,2010,82,89,"PG"
"Noah",359200044,2014,41,75,"PG-13"
"Fast & Furious",360366870,2009,67,28,"PG-13"
"Monster Hunt 2",361682618,2018,52,50,""
"World Is Not Enough",361832400,1999,49,51,"PG-13"
"The Hangover Part III",362000072,2013,44,20,"R"
"Planet of the Apes",362211740,2001,27,44,"PG-13"
"Ocean's Twelve",362744280,2004,60,55,"PG-13"
"Night at the Museum: Secret of the Tomb",363204635,2014,57,47,"PG"
"A Bug's Life",363258859,1998,72,92,"G"
"Notting Hill",363889678,1999,79,84,"PG-13"
"Tenet",365294355,2020,76,69,"PG-13"
"The Nun",365582797,2018,35,25,"R"
"Shazam!",366080049,2019,82,90,"PG-13"
"Die Hard with a Vengeance",366101666,1995,83,58,"R"
"My Big Fat Greek Wedding",368744044,2002,73,76,"PG"
"Jurassic Park III",368780809,2001,36,49,"PG-13"
"The Fugitive",368875760,1993,89,96,"PG-13"
"Gone Girl",369330363,2014,87,88,"R"
"There's Something About Mary",369884651,1998,61,83,"R"
"Edge of Tomorrow",370541256,2014,90,91,"PG-13"
"Captain America: The First Avenger",370569774,2011,75,79,"PG-13"
"Terminator Salvation",371353001,2009,53,33,"PG-13"
"Hitch",371594210,2005,62,69,"PG-13"
"Fifty Shades Freed",371985018,2018,37,11,"R"
"The Golden Compass",372234864,2007,51,43,"PG-13"
"Wolverine",373062864,2009,58,38,"PG-13"
"Penguins of Madagascar",373515621,2014,63,74,"PG"
"Batman Begins",373672993,2005,94,84,"PG-13"
"The Adventures of Tintin",373993951,2011,74,74,"PG"
"What Women Want",374111707,2000,54,54,"PG-13"
"Shark Tale",374583879,2004,44,35,"PG"
"G.I. Joe: Retaliation",375740705,2013,48,28,"PG-13"
"Taken 2",376152455,2012,52,22,"PG-13"
"Once Upon a Time in Hollywood",377617598,2019,70,85,"R"
"Slumdog Millionaire",378410542,2008,90,91,"R"
"True Lies",378882411,1994,76,70,"R"
"Godzilla",379014294,1998,28,16,"PG-13"
"Black Widow",379751655,2021,91,79,"PG-13"
"Monsters vs. Aliens",381509870,2009,59,74,"PG"
"Fifty Shades Darker",381545846,2017,48,11,"R"
"Ice Age",383257136,2002,82,77,"PG"
"Back to the Future",383336762,1985,94,97,"PG"
"Cars 3",383930656,2017,69,69,"G"
"Spider-Man: Into the Spider-Verse",384256930,2018,93,97,"PG"
"Happy Feet",384336108,2006,70,76,"PG"
"1917 2019",384576334,2019,88,89,"R"
"Star Trek",385680446,2009,91,94,"PG-13"
"Home",386041607,2015,64,52,"PG"
"Godzilla: King of the Monsters",386600138,2019,73,83,""
"Monster Hunt",387053506,2015,50,66,""
"Live Free or Die Hard",388156011,2007,86,82,"PG-13"
"Black Adam",389642000,2022,89,39,"PG-13"
"Independence Day: Resurgence",389681935,2016,30,29,"PG-13"
"Indiana Jones and the Raiders of the Lost Ark",389925971,1981,96,96,"PG"
"Robin Hood: Prince of Thieves",390493908,1991,72,51,"PG-13"
"Superman Returns",391081192,2006,61,74,"PG-13"
"Solo: A Star Wars Story",392924807,2018,64,69,"PG-13"
"Toy Story",394436586,1995,92,100,"G"
"Grease",396271103,1978,87,76,"PG"
"Snow White and the Huntsman",396592829,2012,52,49,"PG-13"
"Mission: Impossible 3",398479497,2006,69,71,"PG-13"
"Tron: Legacy",400063852,2010,63,51,"PG"
"Uncharted",401748820,2022,90,41,"PG-13"
"Dune",401847900,2021,90,83,"PG-13"
"Eternals",402064899,2021,77,47,"PG-13"
"Mamma Mia! Here We Go Again",402264843,2018,66,79,"PG-13"
"Gone with the Wind",402382193,1939,92,90,"G"
"Sonic the Hedgehog 2",402656846,2022,96,69,"PG"
